site_id,label,year,month,date,panoid,gsv_lat,gsv_lon,broadcast_year,broadcast_month,months_from_broadcast,file
S_10440_0030,未闻花名·旧秩父橋,2019,10,2019-10,qtwYuRApnF1iE_slK-6rKg,36.0185330683215,139.0858227920585,2011,4,102,data/raw/streetview/history/S_10440_0030/2019-10.jpg
S_10440_0030,未闻花名·旧秩父橋,2023,3,2023-03,c35UNdcGJOBD8Ls251b0jg,36.01877080359114,139.0857182574963,2011,4,143,data/raw/streetview/history/S_10440_0030/2023-03.jpg
S_10440_0051,未闻花名·秩父神社,2011,5,2011-05,7BN2328P251e52PQpuDAYQ,35.9967851754534,139.083739923036,2011,4,1,data/raw/streetview/history/S_10440_0051/2011-05.jpg
S_10440_0051,未闻花名·秩父神社,2012,7,2012-07,DPL-1ychGXXmC__buDjiTg,35.99668413926603,139.0839233919207,2011,4,15,data/raw/streetview/history/S_10440_0051/2012-07.jpg
S_10440_0051,未闻花名·秩父神社,2015,7,2015-07,r71YsUb5ifPOMKkoHNLtPg,35.9967320011549,139.0838340471255,2011,4,51,data/raw/streetview/history/S_10440_0051/2015-07.jpg
S_10440_0051,未闻花名·秩父神社,2018,9,2018-09,ucUyIFfWr6-WxT37qWw2rw,35.99656322124326,139.0841880352627,2011,4,89,data/raw/streetview/history/S_10440_0051/2018-09.jpg
S_10440_0051,未闻花名·秩父神社,2019,9,2019-09,mTi8cBwGIYyqmyKLJGa8Ow,35.99664087214604,139.0840122743278,2011,4,101,data/raw/streetview/history/S_10440_0051/2019-09.jpg
S_10440_0051,未闻花名·秩父神社,2023,5,2023-05,vxiqt1qvyodMLXToyBC1Vw,35.99660055895524,139.0840982275244,2011,4,145,data/raw/streetview/history/S_10440_0051/2023-05.jpg
S_10440_0051,未闻花名·秩父神社,2023,12,2023-12,yCXpqv-UwxQWPaIxbVLyrQ,35.9968374599438,139.0836436406514,2011,4,152,data/raw/streetview/history/S_10440_0051/2023-12.jpg
S_10440_0051,未闻花名·秩父神社,2025,5,2025-05,E2GX_8LMuzN_b5NlSVptMQ,35.99688903070818,139.0835331743524,2011,4,169,data/raw/streetview/history/S_10440_0051/2025-05.jpg
S_207195_0069,摇曳露营·ローソン南アルプス,2012,6,2012-06,Xx6AT2o9j-TOUDQUz75-cQ,35.66112353208398,138.4405579248323,2018,1,-67,data/raw/streetview/history/S_207195_0069/2012-06.jpg
S_207195_0069,摇曳露营·ローソン南アルプス,2018,8,2018-08,gmLivfN9_Tv1C10cPISufQ,35.66091982296549,138.4405811682573,2018,1,7,data/raw/streetview/history/S_207195_0069/2018-08.jpg
S_207195_0069,摇曳露营·ローソン南アルプス,2023,3,2023-03,3VdgskoO5W6FV0js8EDeXw,35.66100107747077,138.4405714898464,2018,1,62,data/raw/streetview/history/S_207195_0069/2023-03.jpg
S_207195_0069,摇曳露营·ローソン南アルプス,2025,4,2025-04,3W_Rl3sdyuBJisQEHsTLsg,35.66015152202625,138.4406536420815,2018,1,87,data/raw/streetview/history/S_207195_0069/2025-04.jpg
S_207195_0075,摇曳露营·夜叉神峠登山口,2012,6,2012-06,7UvewLAxiHG58xyBMGnh-A,35.63554393898381,138.3453403360969,2018,1,-67,data/raw/streetview/history/S_207195_0075/2012-06.jpg
S_207195_0075,摇曳露营·夜叉神峠登山口,2023,4,2023-04,4ZpWXBzEU1LQvINaKQ6q3A,35.63557245598574,138.3454881516569,2018,1,63,data/raw/streetview/history/S_207195_0075/2023-04.jpg
